component_or_file,existing_responsibility,required_visual_change,required_interaction_change,must_preserve,must_not_change,acceptance_evidence,owner
src/widgets/atlas-scene/ChapterAnswersAtlas.tsx,"fail-closed Story shell","compose compact Story header controls legend 16-node scene summary CTA","load shared ViewModel select approved IDs share query state","ChapterFrame Evidence Line and fail-closed behavior","source nodes coordinates radius encoding or arbitrary IDs","Story screenshots and parity hash at four viewports",FRONTEND_ENGINEERING
src/pages/story/StoryPage.tsx,"Story chapter composition","no global redesign","provide approved release resource to answers chapter","all other chapter order and rhythm","replace Story with Atlas", "route and chapter regression",FRONTEND_ENGINEERING
src/widgets/atlas-explorer/AtlasExplorer.tsx,"Explorer orchestration","move result cue and legend before scene","share mode-neutral selection/filter primitives","URL state and map-first hierarchy","dashboard card collection", "Explorer scenarios and DOM counts",FRONTEND_ENGINEERING
src/widgets/atlas-explorer/AtlasScene.tsx,"SVG scene and pointer resolution","support Story composition without local remap; expose pan instruction","same selection preview hit logic in both products","viewBox plot rect finalized ViewModels","coordinate/radius mutation force jitter", "Story/Explorer node attribute parity dump",FRONTEND_ENGINEERING
src/widgets/atlas-explorer/AtlasNodeGlyph.tsx,"glyph grammar","forced-colors-safe focus selection status separation","none beyond state props","shape fill mark dash ring offsets","Story-specific glyph variants", "visual token screenshots",DESIGN_TOKEN
src/widgets/atlas-explorer/AtlasControls.tsx,"status/type/reset","add compact Story/mobile presentation variant","preserve canonical state and reset","values labels URL order","different Story filter semantics", "filter and CTA carry tests",FRONTEND_ENGINEERING
src/widgets/atlas-explorer/AtlasLegend.tsx,"encoding explanation","move before scene and add focus/selection explanation","none","same labels in Story/Explorer","interactive legend filters", "legend parity audit",EDITORIAL_COPY
src/widgets/atlas-explorer/AtlasInspector.tsx,"selected-node detail","clarify 규모 and evidence-unavailable state","keep node selected when evidence absent","metrics and evidence eligibility","importance claims or raw evidence", "selected/evidence scenarios",FRONTEND_ENGINEERING
src/widgets/atlas-explorer/AtlasDomMirror.tsx,"keyboard node owner","compact/collapsible presentation where needed","unique names; preserve spatial roving and selection","all filtered nodes and 44px targets","duplicate accessible names or visual-only focus", "140/140 unique accessible names",INTERACTION_LOGIC
src/shared/lib/atlas/atlasAccessibility.ts,"accessible copy","none","include topic answer count and stable short ID","family/status/metrics semantics","nonunique A#/family/status-only names", "accessibility snapshot uniqueness",INTERACTION_LOGIC
src/shared/api/atlas/*,"manifest bundle repository","no visual change","provide one cached release resource to Story Explorer Evidence","hash/schema validation abort fail closed","mock fallback or latest-directory discovery", "network and hash audit",DATA_CONTRACT
src/shared/lib/atlas/atlasNodeParity.ts,"Story ID selection","no visual change","consume approved 16 IDs only","base row parity","candidate IDs as production", "16 IDs and field equality report",DATA_CONTRACT
src/app/router/DetailPage.tsx,"direct evidence page","render canonical EvidencePresentation","resolve repository record and distinguish unknown/unavailable","direct route semantics","DEV mock lookup for release-valid IDs", "direct/drawer content parity",FRONTEND_ENGINEERING
src/app/router/EvidenceRouteOverlay.tsx,"background detail route","canonical error/unavailable copy","resolve shared repository before overlay","background location history","generic invalid for known evidence", "overlay route screenshots",FRONTEND_ENGINEERING
src/widgets/evidence-drawer/EvidenceDrawer.tsx,"mock evidence drawer","use canonical record primitives","preserve trap close tabs focus return","responsive shell and visible provenance","mock content in production", "375/1440 drawer parity",FRONTEND_ENGINEERING
src/shared/ui/evidence/EvidencePresentation.tsx,"shared evidence primitives","support identical drawer/direct field order","none","reported vs verified and provenance","status conflation", "semantic DOM comparison",EDITORIAL_COPY
src/shared/ui/atlas/AtlasDataStates.tsx,"route states","add immediate zero-result cue and evidence-unavailable primitive if shared","correct announcements","DataUnavailable/error/empty/invalid distinction","fake-node skeleton", "state screenshot matrix",FRONTEND_ENGINEERING
src/app/styles/layout.css,"global and Atlas layout","component-scoped Story preview and responsive contracts","none","unrelated Story visual system","global redesign or footer overlap", "four-viewport bounding audit",DESIGN_TOKEN
src/app/styles/reset.css,"focus reduced forced colors","ensure selection/status remain distinct in forced colors","none","global visible focus and reduced motion","remove outlines", "manual HC/reduced-motion QA",DESIGN_TOKEN
src/shared/config/atlas/atlasEncoding.ts,"canonical visual tokens","document normal-text red restriction and state tokens","preserve shared mapping","radius source and projection padding","Story-local mapping or opacity policy", "unit plus visual parity tests",DESIGN_TOKEN
tests/e2e/story-atlas*.spec.ts,"future integration QA","none","implement acceptance scenarios and screenshots","stable semantic selectors","fixture results presented as production", "VISUAL_QA_ACCEPTANCE_CRITERIA.csv",QA_ONLY
