scenario,viewport,method,current_result,status,post_implementation_pass
SVG_name,1440,"accessibility snapshot","title and description exposed",CONFIRMED,"one unique name and concise summary"
small_node_focus,375,"DOM navigator and SVG target measurement","44x44 target exists; unique focus identity fails",PARTIALLY_CONFIRMED,"smallest node reachable and uniquely announced"
focus_ring_clipping,375/768/1440/1920,"source padding review","padding includes max radius and focus offset; not manually inspected for every node",PARTIALLY_CONFIRMED,"no halo clips at plot boundary"
focus_vs_selection,1440,"selected/focused token review","separate offsets and rings exist",CONFIRMED,"focused-selected visibly shows both"
status_vs_selection,forced_colors,"CSS review only","glyphs collapse to Canvas/CanvasText; distinction not manually proven",NOT_VERIFIABLE,"status text/dash and selection remain distinct"
shape_without_color,1440,"legend/source review","circle diamond square plus inner marks",CONFIRMED,"A1-A8 and three families identifiable without hue"
unique_node_name,1440,"accessibility snapshot count","20 unique names for 140 controls",CONTRADICTED,"140 unique names for 140 nodes"
keyboard_spatial_nav,1440,"ArrowRight live test","focus moved to deterministic spatial neighbor",CONFIRMED,"all directions Home End pass"
keyboard_select_clear,1440,"Enter and Escape live test","URL selection added then cleared",CONFIRMED,"focus remains logical and live message updates"
touch_target,375,"bounding-box audit","minimum 44x44 CSS px",CONFIRMED,"all visible interactive targets >=44x44"
touch_overlap,375,"pairwise screen-space audit","1133 Full Explorer hit overlaps",CONTRADICTED,"approved upstream collision gate and accessible alternative accepted"
drawer_focus_return,1440,"focus open Escape close live test","returned to invoking evidence button",CONFIRMED,"also passes mobile and direct/back flows"
reduced_motion,1440,"emulated prefers-reduced-motion","glyph transition 0.01ms and scroll auto",CONFIRMED,"manual toggle equivalent"
zoom_200,375/768,"manual browser zoom",not_run,NOT_VERIFIABLE,"controls operable; no hidden content or 2D page overflow"
forced_colors,375/1440,"manual OS emulation",not_run,NOT_VERIFIABLE,"focus selection status and family remain distinguishable"
live_result_count,1440,"status filter live test","9개 node 표시 announced",CONFIRMED,"filter names selection and evidence state announced"
