surface,element,final_label,notes
Story,public_name,"어떻게 답했나","route /#answers"
Story,headline,"답변은 어디에 모였는가","editorial question not analysis claim"
Story,cta,"전체 지도 보기","carry status and types"
Explorer,title,"답변행태 지도","route /atlas"
Controls,status,"처리 상태","shared"
Controls,status_all,"전체 상태","shared"
Controls,status_complete,"추진완료","reported status"
Controls,status_active,"추진중","reported status"
Controls,status_unresolved,"미완료·단절","reported status"
Controls,answer_type,"답변 유형","A1-A8"
Controls,legend,"범례와 시각 인코딩","explanatory"
Controls,reset,"필터 초기화","canonical reset"
Inspector,empty,"선택된 기록이 없습니다","node language can remain in body"
Inspector,evidence_available,"승인된 대표 증거 보기","repository-resolvable only"
Inspector,evidence_unavailable,"공개 승인된 대표 증거가 없습니다","do not disable node"
State,empty_result,"조건에 맞는 node가 없습니다","not DataUnavailable"
State,data_unavailable,"승인된 Atlas 데이터가 아직 없습니다","fail closed"
State,invalid_node,"요청한 node를 찾을 수 없습니다","clear node only"
Evidence,direct_heading,"증거 상세","record title remains h1"
Evidence,reported_status,"보고된 처리 상태","not verification"
Evidence,verification_status,"추가 검증 상태","distinct field"
Evidence,provenance,"출처와 PDF 계보","includes meeting pages asset"
