component,current_responsibility,current_visual_role,current_status,design_disposition
ChapterAnswersAtlas,"Story route composition and fail-closed CTA","Editorial chapter header metadata and unavailable panel",CONTRADICTED,"IMPLEMENTATION_RECOMMENDATION: compose 16-node preview from shared ViewModels without replacing chapter rhythm"
AtlasSectionHeader,"Route/chapter heading","Redline index headline thesis warning",CONFIRMED,"LOCK_REQUIRED: retain hierarchy; Story and Explorer use different index depth"
AtlasMetadataRail,"Release and layer metadata","Four-cell archival rail",CONFIRMED,"OPTIONAL_REFINEMENT: reduce Story metadata density after data connection"
AtlasControls,"Status type filters and reset","URL-synchronized control rail",CONFIRMED,"LOCK_REQUIRED: share semantics; Story may use compact composition only"
AtlasLegend,"Behavior and status encoding explanation","Collapsible legend currently after DOM list",PARTIALLY_CONFIRMED,"IMPLEMENTATION_RECOMMENDATION: move adjacent to controls before scene"
AtlasScene,"Aggregate SVG and pointer hit testing","720x520 map with registration grid",CONFIRMED,"LOCK_REQUIRED: shared renderer primitives and immutable domain"
AtlasNodeGlyph,"Shape fill stroke opacity rings","Canonical node visual grammar",PARTIALLY_CONFIRMED,"LOCK_REQUIRED: preserve parity; refine forced-colors selection semantics"
AtlasInspector,"Selected-node summary and evidence action","Sticky desktop side rail and in-flow mobile card",CONFIRMED,"LOCK_REQUIRED: no dashboard card collection; deepen only in Explorer"
AtlasDomMirror,"Keyboard owner and synchronized node list","Large post-map grid",PARTIALLY_CONFIRMED,"IMPLEMENTATION_RECOMMENDATION: unique names and compact/collapsible presentation"
AtlasDataStates,"Loading error empty unavailable invalid states","Redline state panels",CONFIRMED,"LOCK_REQUIRED: keep states semantically distinct"
EvidenceDrawer,"Background-route evidence detail","Drawer desktop bottom sheet mobile",PARTIALLY_CONFIRMED,"IMPLEMENTATION_RECOMMENDATION: consume approved repository and match direct page"
EvidencePresentation,"Evidence record primitives","Header status chain verification provenance",PARTIALLY_CONFIRMED,"LOCK_REQUIRED: one content model for drawer and direct route"
ChapterFrame,"Story chapter rhythm and Evidence Line continuity","Large chapter spacing archival rule",CONFIRMED,"LOCK_REQUIRED: Atlas must not replace Evidence Line or chapter cadence"
layout.css,"Responsive and state presentation","Shared redline/public-record system",PARTIALLY_CONFIRMED,"DESIGN_TOKEN: add Story preview-specific layout without global redesign"
atlasEncoding,"Mapping and interaction tokens","Canonical shapes fills status strokes opacity rings",PARTIALLY_CONFIRMED,"LOCK_REQUIRED: no Story-local remap; confidence policy remains provisional"
