interaction,route,current_result,evidence,status,required_change
status_filter,/atlas,"URL becomes status=active; live region reports 9 nodes",live_browser,CONFIRMED,"Share with Story Preview"
answer_type_filter,/atlas,"A1-A8 checkbox rail updates URL and node set",source_and_runtime,CONFIRMED,"Compact mobile disclosure allowed"
reset,/atlas,"Removes Atlas query parameters",source,CONFIRMED,"Keep canonical reset semantics"
back_forward,/atlas,"all -> active -> all -> active restored URL controls and live count",live_browser,CONFIRMED,"Apply same query contract from Story CTA"
keyboard_direction,/atlas,"ArrowRight moved DOM focus from list index 0 to spatial neighbor index 22",live_browser,CONFIRMED,"Accessible name must become unique"
keyboard_select,/atlas,"Enter selected node and serialized node query",live_browser,CONFIRMED,"Keep Enter and Space parity"
escape_clear,/atlas,"Escape removed selected node query",live_browser,CONFIRMED,"Keep focus on active DOM navigator"
pointer_select,/atlas,"Map click resolves nearest overlapping hit region",source_and_runtime,PARTIALLY_CONFIRMED,"Collision ambiguity must be reported and not solved by frontend jitter"
hover_preview,/atlas,"Pointer hover previews label and inspector without URL mutation",source,CONFIRMED,"Story may preview summary but selected state requires activation"
empty_filter,/atlas,"Empty map plus explicit no-result state after scene",live_browser,PARTIALLY_CONFIRMED,"Place immediate result count/no-result cue above scene"
invalid_node,/atlas,"Invalid node keeps filters and offers selection clear",live_browser,CONFIRMED,"Retain distinct error state"
evidence_open,/atlas,"Valid release evidence ID opens background route but DEV route rejects it",live_browser,CONTRADICTED,"Wire shared EvidenceRepository"
drawer_escape,/evidence/:id,"Escape closes drawer and returns focus to invoking evidence button",live_browser,CONFIRMED,"Retain; add fallback contract"
direct_evidence,/evidence/:id,"Valid release ID renders not-found in DEV and unavailable in production",live_browser_and_source,CONTRADICTED,"Render repository-backed canonical record"
touch_target,/atlas,"Minimum rendered SVG hit target is 44x44 CSS px at 375 and 768",live_browser,CONFIRMED,"Preserve after Story composition"
reduced_motion,/atlas,"OS reduced motion yields 0.01ms glyph transition and auto scroll behavior",live_browser,CONFIRMED,"Manual preference must produce equivalent result"
