chapter_id,check_name,pass,detail
remains,no_duplicate_h1_in_section,true,"Only single h2 heading found inside section[data-chapter-id='remains']; no h1 conflicts"
remains,icon_only_controls_labeled,true,"Share2/Check icons carry aria-hidden='true' with adjacent visible text label; sr-only aria-live status span present for copy action"
scale,no_duplicate_h1_in_section,true,"No <h1> found inside section[data-chapter-id=scale]; top-level heading is a single h2 (요구는 얼마나 쌓였는가); no multi-h1 violation"
scale,image_alt_text_present,true,"No <img> or <Image> elements present in ChapterScale.tsx; nothing to validate for alt text, no violation"
prologue,semantic_heading_structure,PASS,"section[data-chapter-id=prologue] 내 h1 정확히 1개 (ChapterPrologue.tsx:148), 중첩 h1 없음."
prologue,image_alt_attribute,PASS,"Hero 이미지 슬롯(prologue-hero-identity)은 src 미연결로 pending 상태이며 실제 img 태그 미렌더링. EditorialImageField.tsx:26 기본 alt=Archival Editorial Evidence Document 지정되어 있어 이미지 연결 시 alt 누락 위험 없음."
record,heading_hierarchy_h1_count,true,"ChapterRecord.tsx 섹션 내 h1 태그 없음(0개); h2/h3만 사용하여 2개 이상 h1 중복 문제 없음."
record,image_alt_text,true,"섹션 내 <img> 요소 없음(lucide-react 장식 SVG 아이콘만 사용). alt 누락 리스크 없음."
gap,no_duplicate_h1_in_section,true,"section[data-chapter-id=gap] 내 h1 없음; 최상위 제목은 단일 h2(""2년이 넘었는데...""), 카드 제목은 h3/h4"
gap,image_alt_text_present,true,"ChapterGap.tsx 내 img 태그 없음; SankeyFlowDiagram.tsx svg에 aria-label=""시정요구 처리 흐름 가로 도표"" 존재"
gap,sankey_hidden_scrollbar_affordance,false,"SankeyFlowDiagram.tsx의 overflow-x-auto 컨테이너가 hide-scrollbar 클래스를 사용해 키보드 포커스(tabIndex=0)만으로는 저시력/마우스 미사용 사용자가 가로 스크롤 가능 여부를 시각적으로 인지하기 어려움"
cases,no_duplicate_h1_in_section,true,"0 <h1> elements found inside section[data-chapter-id=cases] (DOM query h1Count=0); only h2 (chapter title) and h3 (case titles) headings used; no h1 conflict"
cases,image_alt_text_present,true,"No <img> or <Image> elements present in ChapterCases.tsx (grep confirms none); nothing to validate for alt text, no violation"
