"category","path","responsibility","status"
"release","/home/sieg/projects-wsl/SBS_dataScience/DSJA/P3_CULTURE/P3_FINAL/data/90_exports/frontend/approved/ATLAS_DG761_STORY_20260724_024000_KST_D9DB2264/","immutable derived canonical release with 16 Story node IDs","CREATED"
"release","public/data/releases/ATLAS_DG761_STORY_20260724_024000_KST_D9DB2264/","byte-identical runtime release copy","CREATED"
"pointer","/home/sieg/projects-wsl/SBS_dataScience/DSJA/P3_CULTURE/P3_FINAL/data/90_exports/frontend/approved/current-release.json","canonical default release pointer","CREATED"
"pointer","public/data/current-release.json","runtime default release pointer","CREATED"
"config",".env.example","blank VITE_ATLAS_RELEASE_ID rollback override documentation","MODIFIED"
"config","vercel.json","SPA rewrite and cache headers","CREATED"
"transport","src/shared/types/atlas.ts","Story metadata and Evidence repository ViewModel contracts","MODIFIED"
"transport","src/shared/api/atlas/atlasTransportSchema.ts","pointer, summary, Evidence detail runtime validation","MODIFIED"
"loader","src/shared/api/atlas/loadAtlasManifest.ts","env/pointer precedence and pointer manifest SHA verification","MODIFIED"
"loader","src/shared/api/atlas/loadAtlasBundle.ts","core bundle hash/schema validation including atlas-summary","MODIFIED"
"resource","src/shared/api/atlas/atlasReleaseResource.ts","shared cache, dedupe, abort, invalidation, adapter and repository","CREATED"
"hook","src/shared/api/atlas/useAtlasRelease.ts","React lifecycle wrapper for shared release resource","CREATED"
"evidence","src/shared/api/atlas/evidenceRepository.ts","approved detail manifest/hash/schema fetch and cache","MODIFIED"
"evidence","src/shared/api/atlas/useEvidenceDetail.ts","shared Evidence detail hook","CREATED"
"adapter","src/shared/lib/atlas/toAtlasViewModel.ts","preserve projection hash, Story IDs and repository","MODIFIED"
"explorer","src/pages/atlas/AtlasPage.tsx","consume useAtlasRelease instead of duplicate loading","MODIFIED"
"story","src/widgets/atlas-scene/ChapterAnswersAtlas.tsx","approved 16-node Story renderer with shared controls/scene/legend/DOM mirror and CTA","MODIFIED"
"explorer","src/widgets/atlas-explorer/AtlasExplorer.tsx","release/projection parity attributes and mobile release containment","MODIFIED"
"story","src/pages/story/StoryPage.tsx","keep non-approved legacy chapter fixtures fail-closed in production","MODIFIED"
"story","src/shared/ui/story/StoryChapterUnavailable.tsx","production fail-closed Story chapter state","CREATED"
"evidence","src/app/router/DetailPage.tsx","approved repository getDetail direct route","MODIFIED"
"evidence","src/app/router/EvidenceRouteOverlay.tsx","approved route overlay connection","MODIFIED"
"evidence","src/widgets/evidence-drawer/EvidenceDrawer.tsx","approved detail Drawer connection","MODIFIED"
"evidence","src/shared/ui/evidence/EvidencePresentation.tsx","approved Evidence record presentation","MODIFIED"
"layout","src/app/styles/layout.css","375px containment for redline grid and Atlas scroll","MODIFIED"
"test","src/shared/api/atlas/atlasReleaseResource.test.ts","resource cache/dedupe/invalidation","CREATED"
"test","src/shared/api/atlas/loadAtlasManifest.test.ts","pointer/env precedence and manifest SHA","MODIFIED"
"test","src/shared/api/atlas/atlasTransportSchema.test.ts","summary and Evidence schema validation","MODIFIED"
"test","src/shared/api/atlas/evidenceRepository.test.ts","approved detail repository","CREATED"
"test","src/widgets/atlas-scene/ChapterAnswersAtlas.test.tsx","Story 16/16 and CTA contract","CREATED"
"test","src/app/router/DetailPage.test.tsx","approved direct Evidence detail","CREATED"
"e2e","tests/e2e/story-explorer-parity.spec.ts","release/projection/field parity and CTA carry","CREATED"
"e2e","tests/e2e/evidence-detail.spec.ts","direct/Drawer/invalid Evidence paths","CREATED"
"e2e","tests/e2e/vercel-preview.spec.ts","built-route and pointer-backed runtime contract","CREATED"
"e2e","tests/e2e/atlas-contract-shell.spec.ts","real fail-closed and explicit fixture split","MODIFIED"
"e2e","tests/e2e/atlas-experience-design.spec.ts","Story real-data expectations and responsive QA","MODIFIED"
"integration_unblock","src/pages/method/MethodPage.tsx","Database icon import only; concurrent file otherwise preserved","MODIFIED_MINIMAL"
