"check","actual","expected","status"
"authoritative deployment target","production","preview","CONTRADICTED"
"deployment ready","READY","READY","PASS"
"direct SPA routes","7/7 HTTP 200","7/7","PASS"
"pointer cache","no-cache","no-cache","PASS"
"release cache","public, max-age=31536000, immutable","public, max-age=31536000, immutable","PASS"
"HTML cache","no-cache","no-cache","PASS"
"Story nodes","16/16","16/16","PASS"
"Explorer nodes","140/140","140/140","PASS"
"approved Evidence direct/Drawer","EVID_18557647961C4C1481271E6B/EVID_18557647961C4C1481271E6B","same approved ID","PASS"
"viewports overflow","375:0/0|768:0/0|1440:0/0|1920:0/0","all 0/0","PASS"
"Axe serious/critical","0/0","0/0","PASS"
"stable console/page/request failures","0/0/0","0/0/0","PASS"
"final local/deployed artifact parity","false","true","BLOCKED"
