check,method,result,status,limitation
blocking Axe,"Story Atlas Foundation 4 viewports",0,PASS,"approved production data absent"
console errors,Playwright listeners,0,PASS,"no-data and calibration states"
page errors,Playwright listeners,0,PASS,"no-data and calibration states"
failed requests,Playwright listeners,0,PASS,"unexpected only"
horizontal overflow,DOM clientWidth/scrollWidth,0 all viewports,PASS,"Story full page included"
focus visible,computed style,"2px #A40F1F + 3px offset",PASS,"CTA and shared controls"
keyboard node,Playwright,"Enter select; Escape clear",PASS_CONTRACT_FIXTURE,"2-node fixture"
DOM mirror,role audit,"single keyboard owner",PASS,"SVG role img only"
44px target,bounding box,">=44px",PASS_CONTRACT_FIXTURE,"mirror target"
invalid node,Playwright,"stage retained; inspector state; URL clear",PASS_CONTRACT_FIXTURE,"fixture"
reduced motion,source + route Axe,"progress animation disabled; transform removed",PARTIALLY_CONFIRMED,"manual vestibular review pending"
200 percent zoom,NOT_RUN,NOT_VERIFIABLE,BLOCKED,"separate manual browser session required"
screen reader announcement,DOM/live region inspection,"polite atomic text present",PARTIALLY_CONFIRMED,"assistive technology session not run"
