state,distinction,presentation,announcement,action_or_navigation,verdict
loading,manifest_contract_validation_in_progress,progress_signal_and_skeleton,status_and_aria_busy,none_needed_during_short_load,PASS
unavailable,approved_data_absent,fail_closed_00_record_panel,status,Method_Data_and_Atlas_recovery_links,PASS
empty,valid_data_filter_result_zero,no_results_panel,status,filter_reset,PASS
error,request_or_processing_failure,error_panel,alert,retry_and_technical_detail,PASS
contract_mismatch,data_present_app_contract_invalid,VER_contract_panel,alert,retry_contract_validation,PASS
projection_mismatch,release_coordinate_system_invalid,XY_contract_panel,alert,retry_projection_validation,PASS
invalid_node,selected_ID_not_in_release,compact_ID_error_panel,alert,clear_node_only,PASS
missing_evidence,repository_public_detail_absent,evidence_unavailable_record,status,route_navigation_and_close,PASS
stale_release,newer_approved_release_required,OLD_unavailable_panel,status,provided_recovery_actions,PASS

