viewport,routes,page_overflow,targets,content_reflow,visual_verdict
320x800,Story_Answers_and_Atlas,0,all_visible_44x44,controls_and_unavailable_state_reflow,PASS
375x812,Story_Answers_Atlas_Evidence_Drawer,0,all_visible_44x44,evidence_ID_horizontal_bottom_sheet_usable,PASS
768x1024,Story_Answers_and_Atlas,0,all_visible_44x44,control_rail_reflows_without_clipping,PASS
1440x900,Story_Answers_Atlas_Evidence,0,all_visible_44x44,record_surface_stage_inspector_hierarchy,PASS
1920x1080,Story_Answers_and_Atlas,0,all_visible_44x44,negative_space_and_max_width_controlled,PASS
400_percent_equivalent,Atlas_320x800_equivalent,0,keyboard_targets_retained,single_axis_page_reflow,PASS
text_spacing_override,Atlas_375x812,0,targets_retained,Korean_copy_and_controls_reflow,PASS
forced_colors,Atlas_375x812,0,focus_and_boundaries_visible,system_colors_preserved,PASS
reduced_motion,Atlas_375x812,0,targets_retained,no_continuous_motion_dependency,PASS

