field,pure_contract,fixture,approved_real_data
id,PASS,PASS,NOT_VERIFIABLE
projectionId,PASS,PASS,NOT_VERIFIABLE
anchor,PASS,PASS,NOT_VERIFIABLE
display,PASS,PASS,NOT_VERIFIABLE
status,PASS,PASS,NOT_VERIFIABLE
answerType,PASS,PASS,NOT_VERIFIABLE
behaviorFamily,PASS,PASS,NOT_VERIFIABLE
normalizedMass,PASS,PASS,NOT_VERIFIABLE
radiusPx,PASS,PASS,NOT_VERIFIABLE
confidence,PASS,PASS,NOT_VERIFIABLE
encoding,PASS,PASS,NOT_VERIFIABLE
screenCoordinate,ALLOWED_TO_DIFFER_BY_VIEWPORT,TESTED,NOT_VERIFIABLE
story_preview_node_ids,REQUIRED,ABSENT,ABSENT
